task_id,task_name,description,start_date,end_date,priority,status,progress_percentage,estimated_hours,actual_hours,is_critical_path,category_name,parent_task_id,creator_id,created_date,completed_date
11,Stabilize Local Dev & E2E Test Setup,"Fix local dev/test issues: make token loading safe when no injected variable exists, point the app to the deployed tasks database file, and stabilize Playwright to run locally without hitting production.",2025-12-11,2025-12-11,High,Completed,100,3,3,true,Testing,,system@example.com,2025-12-11T17:30:00Z,2025-12-11T18:00:00Z
12,Sync tasks.csv with tasks.json,"Update /public/tasksDB/tasks.csv so it reflects the same project state as /public/tasksDB/tasks.json (statuses, dates, and any newly added tasks).",2025-12-11,2025-12-12,Medium,Completed,100,1,1,false,Maintenance,,system@example.com,2025-12-11T18:00:00Z,2025-12-11T19:30:00Z
13,Review Public Token Strategy,"Confirm the intended security model for public collaboration (token injection, permissions/scoping, abuse prevention). Document the approach and constraints in README/tools docs.",2025-12-12,2025-12-13,High,Completed,100,2,2,true,Documentation,,system@example.com,2025-12-11T18:00:00Z,2025-12-13T12:00:00Z
14,Archive legacy root tasks.json,Preserve the older repo-root tasks.json as an immutable history snapshot under /public/tasksDB/history without changing the canonical runtime database.,2025-12-11,2025-12-11,Medium,Completed,100,1,1,false,Maintenance,,system@example.com,2025-12-11T20:00:00Z,2025-12-11T20:15:00Z
15,Clickable dashboard stat cards,"Make the dashboard stat cards clickable so users can quickly filter tasks by status (All, Not Started, In Progress, Completed).",2025-12-11,2025-12-11,Medium,Completed,100,2,2,false,Feature,,system@example.com,2025-12-11T20:00:00Z,2025-12-11T20:30:00Z
16,Add Password Protection for Modifications,"Implement a simple password gate for all modification actions (create, edit, delete tasks). Users can view tasks and dashboard freely, but must enter a shared password before making changes. GitHub Pages uses a repo Secret injected at deploy time; local dev is unlocked by default.",2025-12-11,2025-12-12,High,Completed,100,3,3,true,Feature,,system@example.com,2025-12-11T21:00:00Z,2025-12-12T12:00:00Z
17,Create Task Timeline Visualization,"Add a visual timeline/Gantt-style view showing tasks on a date axis. Display task start/end dates, status colors, dependencies as connecting lines. Allow toggle between list view and timeline view. Show clear distinction between completed and pending tasks.",2025-12-12,2025-12-13,High,Completed,100,6,6,true,Feature,,system@example.com,2025-12-11T21:00:00Z,2025-12-11T23:10:00Z
18,GitHub Issues Sync,"Two-way sync between tasks and GitHub Issues. Create issues from tasks, import issues as tasks. Keep status synchronized. Show issue number and link on task cards. Use GitHub API to read/write issues.",2025-12-13,2025-12-15,High,Completed,100,8,8,true,Feature,,system@example.com,2025-12-11T21:00:00Z,2025-12-11T23:25:00Z
19,E2E Tests for New Features,"Create Playwright E2E tests for: 1) Password protection flow (blocked without password, allowed with password), 2) Timeline view rendering and interaction, 3) GitHub Issues sync operations. Test locally before deploying.",2025-12-13,2025-12-14,High,Completed,100,4,4,false,Testing,,system@example.com,2025-12-11T21:00:00Z,2025-12-11T23:35:00Z
20,🔧 Multi-Repo E2E Test - GitHub Task Manager,Live E2E test validating save to github-task-manager repo via updated Worker secrets,2025-12-14,2025-12-15,Medium,Not Started,0,8,0,false,Feature,,system@example.com,2025-12-13T23:23:21.021Z,
21,🚀 E2E Test - Multi-Repo Persistence,Verify task saves successfully to github-task-manager repo via Cloudflare Worker with updated secrets,2025-12-14,2025-12-15,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-13T23:26:25.951Z,
22,Test Task - 1765719179618,Test description for automated testing,2025-12-15,2025-12-20,Medium,Not Started,0,8,0,false,Feature,,system@example.com,2025-12-14T13:33:00.068Z,
23,Test Task - 1765719464664,Test description for automated testing,2025-12-15,2025-12-20,Medium,Not Started,0,8,0,false,Feature,,system@example.com,2025-12-14T13:37:45.113Z,
24,Test Task - 1765719719965,Test description for automated testing,2025-12-15,2025-12-20,Medium,Not Started,0,8,0,false,Feature,,system@example.com,2025-12-14T13:42:00.340Z,
25,Test Task - 1765719743527,Test description for automated testing,2025-12-15,2025-12-20,Medium,Not Started,0,8,0,false,Feature,,system@example.com,2025-12-14T13:42:24.205Z,
26,Test Task - 1765719792028,Test description for automated testing,2025-12-15,2025-12-20,Medium,Not Started,0,8,0,false,Feature,,system@example.com,2025-12-14T13:43:13.092Z,
27,Test Task - 1765723235562,Test description for automated testing,2025-12-15,2025-12-20,Medium,Not Started,0,8,0,false,Feature,,system@example.com,2025-12-14T14:40:35.998Z,
28,Test Task - 1765723325559,Test description for automated testing,2025-12-15,2025-12-20,Medium,Not Started,0,8,0,false,Feature,,system@example.com,2025-12-14T14:42:06.010Z,
29,Test Task - 1765723422053,Test description for automated testing,2025-12-15,2025-12-20,Medium,Not Started,0,8,0,false,Feature,,system@example.com,2025-12-14T14:43:42.523Z,
30,Test Task - 1765725892303,Test description for automated testing,2025-12-15,2025-12-20,Medium,Not Started,0,8,0,false,Feature,,system@example.com,2025-12-14T15:24:52.768Z,
