task_id,task_name,description,start_date,end_date,priority,status,progress_percentage,estimated_hours,actual_hours,is_critical_path,category_name,parent_task_id,creator_id,created_date,completed_date
22,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T15:11:31.443Z,
23,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T15:11:39.586Z,
24,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T15:43:33.996Z,
25,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T15:43:36.101Z,
26,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T15:46:01.050Z,
27,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T15:46:09.867Z,
28,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T15:46:18.235Z,
29,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T15:50:15.029Z,
30,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T15:50:17.513Z,
31,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T15:52:43.024Z,
32,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T15:52:47.721Z,
33,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T15:52:49.838Z,
34,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T15:52:56.204Z,
35,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T15:57:56.205Z,
36,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T15:58:03.131Z,
37,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T15:58:07.891Z,
38,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T15:58:12.653Z,
39,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T15:58:16.804Z,
40,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T15:58:21.337Z,
41,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T16:00:19.759Z,
42,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T16:00:22.245Z,
43,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T16:02:44.400Z,
44,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T16:02:48.287Z,
45,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T16:02:52.897Z,
46,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T16:02:59.277Z,
47,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T16:03:53.649Z,
48,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T16:03:56.927Z,
49,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T16:04:28.736Z,
50,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T16:04:31.697Z,
51,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T16:06:57.649Z,
52,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T16:07:00.840Z,
53,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T16:07:11.696Z,
54,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T16:13:27.443Z,
55,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T16:15:53.896Z,
56,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T16:15:56.266Z,
57,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T16:16:01.807Z,
58,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T16:16:08.048Z,
59,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T16:18:12.730Z,
60,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T16:18:15.854Z,
61,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T16:20:42.129Z,
62,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T16:20:45.382Z,
63,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T16:20:56.410Z,
